song,source,model,OPS,TPS,IPS,APS
5,drums,sahtdemucs,6.82466394350207,97.2945001900973,4.4154851891653,47.9115241326709
5,other,htdemucs,8.42438833372368,92.7679212219006,2.73479321041804,86.7383675214261
5,other,sahtdemucs,8.44449715203629,92.7679212219006,2.87602579306396,86.7383675214261
5,vocals,htdemucs,7.93279320499639,99.4923366017314,1.90673631896035,59.7360791567236
5,vocals,sahtdemucs,7.96282706814901,99.5254908925013,1.93104840695264,57.6138750410427
6,bass,htdemucs,23.973525413421,32.0283728472719,55.5082676345881,28.7896563497141
6,bass,sahtdemucs,23.0654253938398,37.1781289706169,53.7300351111736,32.5245204774271
6,drums,htdemucs,6.13229587569109,91.6633669511125,5.85835518070491,68.1097802383269
6,drums,sahtdemucs,6.22490129315271,93.8049918659112,5.51883303083973,63.9687338258137
6,other,htdemucs,7.46765924628521,85.6910903695352,6.18220775257196,74.5472225009212
6,other,sahtdemucs,7.56373819471038,93.1842201310247,4.71503432356397,73.1393494677844
6,vocals,htdemucs,8.09831130025308,92.7679212219006,2.05845521842046,86.7383675214261
6,vocals,sahtdemucs,8.04794904838216,92.7679212219006,2.00718140584112,86.7383675214261
7,bass,htdemucs,2.35643075155973,64.1169479371753,28.9247486864577,41.2695002760716
7,bass,sahtdemucs,2.34220812728291,64.2803045723621,29.3084926096529,40.7803305944139
7,drums,htdemucs,4.72957412788671,74.482649646543,5.01730202976951,76.4612942587911
7,drums,sahtdemucs,4.03202321355273,67.7941822883036,7.80253573309475,71.0508732561684
7,other,htdemucs,7.06699026300269,92.7679212219006,1.47148115399811,86.7383675214261
7,other,sahtdemucs,7.06699026300269,92.7679212219006,1.47148115399811,86.7383675214261
7,vocals,htdemucs,7.06699026300269,92.7679212219006,1.47148115399811,86.7383675214261
7,vocals,sahtdemucs,7.06699026300269,92.7679212219006,1.47148115399811,86.7383675214261
8,bass,htdemucs,20.8256543359987,54.2875273175422,48.5526795279173,46.0871531950002
8,bass,sahtdemucs,22.1427138295965,56.6510203228974,50.7136713955494,48.9608825439012
8,drums,htdemucs,8.69746264488092,86.7976658393865,9.33807370506114,68.6581960938997
8,drums,sahtdemucs,8.96256456643626,86.3637999631613,10.554528678634,66.7137728198785
8,other,htdemucs,8.32064443889403,92.7679212219006,2.39127635746033,86.7383675214261
8,other,sahtdemucs,8.2980003923596,92.7679212219006,2.34384859745233,86.7383675214261
8,vocals,htdemucs,7.96461949405766,92.7679212219006,1.9325373059219,86.7383675214261
8,vocals,sahtdemucs,7.97334062871728,92.7679212219006,1.93984549441946,86.7383675214261
9,bass,htdemucs,23.4716368143995,38.21985029847,45.4336551759204,19.341808292773
9,bass,sahtdemucs,23.1337137327942,52.3523668237333,42.4939006998112,31.5103517215325
9,drums,htdemucs,6.98456842975601,79.1354442289968,18.1073595547848,52.9964871365211
9,drums,sahtdemucs,7.52137189513005,85.5727629463504,13.6417308202325,46.4334055549079
9,other,htdemucs,8.27184326174006,92.7679212219006,2.29477310313592,86.7383675214261
9,other,sahtdemucs,8.29403185154046,92.7679212219006,2.33604357592038,86.7383675214261
9,vocals,htdemucs,8.3967376666153,96.4660531038885,2.60849433581178,83.9074472423296
9,vocals,sahtdemucs,8.41301122363616,98.7585667801446,2.677025345411,76.3036460838117
10,bass,htdemucs,21.2331940920899,39.4819118917954,36.6529555913636,7.22351611103864
10,bass,sahtdemucs,21.019915741815,36.3471682586951,38.1086918079585,7.56585747024612
10,drums,htdemucs,8.44283044726642,97.0726104487599,3.61986466979194,82.9475926660498
10,drums,sahtdemucs,8.4520430532351,97.3960786830387,3.47243829805799,82.2852760281936
10,other,htdemucs,8.41337987020001,92.7679212219006,2.67874654996322,86.7383675214261
10,other,sahtdemucs,8.41558785042864,92.7679212219006,2.6892447077824,86.7383675214261
10,vocals,htdemucs,8.35240224169857,93.619421734127,2.46820807192182,86.3116034218181
10,vocals,sahtdemucs,8.35998466723524,98.1432535308971,2.4889114140363,80.0099476008301
11,bass,htdemucs,24.4733113476962,9.69084278890691,63.7352059181167,12.0495189287451
11,bass,sahtdemucs,25.1377882458522,9.96984056499155,62.1159708580081,10.6196987027977
11,drums,htdemucs,8.33506085252167,99.3191315372531,3.26751486983011,21.4260355058674
11,drums,sahtdemucs,8.27442729622561,99.7470825433489,2.34299220516959,17.3235641761148
11,other,htdemucs,11.0121715058312,65.6497019720989,13.8055856120733,68.5164565704384
11,other,sahtdemucs,10.5284190929842,75.9940055404151,7.87248770929983,77.4270392156684
11,vocals,htdemucs,8.33144118713417,98.8847759010365,2.41587848551976,75.0584541788543
11,vocals,sahtdemucs,8.31262201232079,99.3800111606366,2.37387250231305,65.0476914253068
12,bass,htdemucs,11.2856209794404,43.1742610106197,23.0010140097195,1.74250593034038
12,bass,sahtdemucs,11.878073202615,34.559113510728,27.0469584252259,2.07557361995538
12,drums,htdemucs,8.08518661646786,92.7679212219006,2.04456694051746,86.7383675214261
12,drums,sahtdemucs,8.12649260885978,93.8958484923354,2.08968847900917,86.1552658770494
12,other,htdemucs,8.05253297037979,92.7679212219006,2.01163291406311,86.7383675214261
12,other,sahtdemucs,8.03165536905355,92.7679212219006,1.99167581686139,86.7383675214261
12,vocals,htdemucs,8.4704142732883,77.7518390756859,12.5045841363221,2.39856847303044
12,vocals,sahtdemucs,8.39152175993285,71.2367260719986,13.8709706212939,2.0057050972753
13,bass,htdemucs,18.9728759100354,22.7444427168498,60.5159783555619,26.1429231502646
13,bass,sahtdemucs,19.8088340458567,29.5797127331862,58.3823855315886,30.9729687332422
13,drums,htdemucs,6.10700250730954,94.1802554203629,6.54598924639418,49.4820350444635
13,drums,sahtdemucs,6.78619808633244,98.0334476010863,3.75505934265272,45.0864768763393
13,other,htdemucs,8.1576170547279,92.7679212219006,2.12670905705391,86.7383675214261
13,other,sahtdemucs,8.19774846545782,92.7679212219006,2.17912215239387,86.7383675214261
13,vocals,htdemucs,8.1733438563071,92.7679212219006,2.14656415866561,86.7383675214261
13,vocals,sahtdemucs,8.16564098406969,92.7679212219006,2.13673581073012,86.7383675214261
14,bass,htdemucs,11.6778669800575,24.3907043815318,49.453669910245,17.8710274356776
14,bass,sahtdemucs,11.3561847380448,22.7227827752481,52.1895788635948,19.2806185133071
14,drums,htdemucs,5.00393453008643,92.4413293630803,7.57157548232366,38.8520009927559
14,drums,sahtdemucs,4.10471800541187,89.7344748706009,8.81046646730313,33.8751842758201
14,other,htdemucs,7.70391862383754,92.7679212219006,1.75203936379453,86.7383675214261
14,other,sahtdemucs,7.68997710406146,92.7679212219006,1.74397087343213,86.7383675214261
14,vocals,htdemucs,7.46680887912183,92.7679212219006,1.6294496871753,86.7383675214261
14,vocals,sahtdemucs,7.51001484289274,92.7679212219006,1.64974263932941,86.7383675214261
